Código producto	Descripción del producto	Descripción completa del producto	Tipo de producto	Tipo de canasta	Fecha inicio abastecimiento	Tipo de Bases
100000024	ACIDO MEFENAMICO 500 MG CP/CM/CM REC.	ACIDO MEFENAMICO 500 MG CAPSULA O COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100000028	ACIDO TRANEXAMICO 500 MG CP/CM REC	ACIDO TRANEXAMICO 500 MG CAPSULA O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000030	ACIDO URSODEOXICOLICO 250MG CP/CM/CM REC	ACIDO URSODEOXICOLICO 250 MG CAPSULA, COMPRIMIDO O COMPRIMIDO RECUBIERTOENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA O COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000031	ACIDO VALPROICO 250 MG/5ML FRA100-120 ML	ACIDO VALPROICO 250 MG/5 ML JARABE FRASCO 100 A 120 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000033	ACIDO VALPROICO 250 MG CM REC ENT	ACIDO VALPROICO 250 MG COMPRIMIDO CON RECUBRIMIENTO ENTERICO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000034	ACIDO VALPROICO 200 MG CP/CM REC ENT	ACIDO VALPROICO 200 MG COMPRIMIDO CON RECUBRIMIENTO ENTERICO O CAPSULACON RECUBRIMIENTO ENTERICO ENVASADO EN BLISTER ENVASE RESISTENTE CONSELLOQUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDOO CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000035	ACIDO VALPROICO 500 MG CM REC ENT	ACIDO VALPROICO 500 MG COMPRIMIDO CON RECUBRIMIENTO ENTERICO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000036	ACIDO ZOLEDRONICO 4 MG/5ML AM/BO SOL INY	ACIDO ZOLEDRONICO 4 MG LIOFILIZADO O 4 MG/5 ML SOLUCION INYECTABLE PARAADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA O BOLSA INFUSION. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA O BOLSA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000038	ADENOSINA 3MG/ML SOL.INY. AM/FAM/JRP 2ML	ADENOSINA 3 MG/ML SOLUCION INYECTABLE INTRAVENOSA, AMPOLLA O FRASCO AMPOLLA O JERINGA PRELLENADA. ENVASE 2 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA O JERINGA PRELLENADA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000044	AGUA ESTERIL P/INYECT. 500 ML SEMIRIGIDO	AGUA ESTERIL PARA INYECTABLES 500 ML ENVASE SEMIRIGIDO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR ENVASE.	Sueros	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000045	AGUA ESTERIL P/INYECTABLES 5 ML AM	AGUA ESTERIL PARA INYECTABLES AMPOLLA, VIDRIO O PLASTICO SEMIRIGIDO CONSISTEMA ABRE FACIL,  ENVASE 5 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000046	AGUA ESTERIL P/INYECTABLES 10 ML AM	AGUA ESTERIL PARA INYECTABLES, AMPOLLA VIDRIO O PLASTICO SEMIRIGIDO CONSISTEMA ABRE FACIL,  ENVASE 10 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000056	AGUJA 21 G X 1,5 DESECHABLE	AGUJA HIPODERMICA DESECHABLE 21 G X 1,5  PULGADA CONO LUER. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD	Insumos	Canasta general	2020-01-01	272
100000060	AGUJA DE VERESS DESECHABLE 120 MM LARGO	AGUJA INSUFLACION VERESS DESECHABLE 120 MM LARGO CON CONECTOR LUER-LOCKCON INDICADOR DE PENETRACION DE TEJIDO. ENVASE INDIVIDUAL ESTERIL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD	Insumos	Canasta general	2020-01-01	272
100000065	AGUJA P/EXTR. SANGRE VACIO 21 G X 1	AGUJA HIPODERMICA DESECHABLE MULTIPLE PARA SISTEMA DE EXTRACCION DE SANGRE AL VACIO CALIBRE 21 G LARGO 1  PULGADA. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD	Insumos	Canasta general	2020-01-01	272
100000066	AGUJA P/EXTR. SANGRE VACIO 21 G X 1,5	AGUJA HIPODERMICA DESECHABLE MULTIPLE PARA SISTEMA DE EXTRACCION DE SANGRE AL VACIO CALIBRE 21 G LARGO 1,5  PULGADAS. ENVASE INDIVIDUAL ESTERILRESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD	Insumos	Canasta general	2020-01-01	272
100000069	AGUJA P/JR CARPULE LARGA 27 G X 40 MM	AGUJA LARGA PARA JERINGA CARPULE DESECHABLE 27 G X 40 MM LARGO (MINIMO)CONO PLASTICO UNIVERSAL ADAPTABLE A TODO TIPO DE JERINGA CARPULE. ENVASEINDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD	Insumos	Canasta general	2020-01-01	272
100000077	AISLADOR PRESION P/HEMOD. (TRANSDUCTOR)	AISLADOR DE PRESION PARA HEMODIALISIS CON SISTEMA DE ATORNILLAMIENTO TIPO LUER LOCK EN LOS EXTREMOS. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD	Insumos	Canasta general	2020-01-01	272
100000078	ALARGAD VEN CONEX M-H 20 A 25 CM C/LLAVE	ALARGADOR VENOSO CONEXION MACHO/HEMBRA, 20 A 25 CM LARGO, CON LLAVE 3 PASOS. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000081	ALARGAD VEN CONEX M-H 10 A 15 CM C/LLAVE	ALARGADOR VENOSO CONEXION MACHO/HEMBRA, 10 A 15 CM LARGO, CON LLAVE 3 PASOS. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000084	ALBENDAZOL 200 MG CM/CM REC	ALBENDAZOL 200 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000085	ALBUMINA HUMANA 20% SOL PERF.ENV. 50 ML	ALBUMINA HUMANA 20% SOLUCION PERFUSION INTRAVENOSA ENVASE INDIVIDUAL 50ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR ENVASE.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100000086	ALCOHOL ETILICO 70° FRA 1000 ML	ALCOHOL ETILICO 70° FRASCO 1 LITRO CON TAPA DOSIFICADORA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. ROTULO DE ACUERDO A LA NORMA CHILENA PARA INFLAMABLES. COTIZAR POR FRASCO.	Insumos	Canasta general	2020-01-01	272
100000087	ALCOHOL ETILICO 70° FRA 200 A 250 ML	ALCOHOL ETILICO 70° FRASCO 200 A 250 ML CON TAPA DOSIFICADORA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. ROTULO DE ACUERDO A LA NORMA CHILENA PARA INFLAMABLES. COTIZAR POR FRASCO.	Insumos	Canasta general	2020-01-01	272
100000090	ALCOHOL GEL 70° FRA 800 A 1000 ML	ALCOHOL 70° GEL PARA ANTISEPSIA DE MANOS FRASCO 800 A 1000 ML CON DISPENSADOR EN COMODATO. DEBE POSEER REGISTRO FARMACEUTICO. ENVASE RESISTENTECON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta general	2020-01-01	341-2.1
100000092	AP. ALGINATO PURO  5 A 6  X  5 A 6 CM	APOSITO DE ALGINATO CALCIO Y/O SODIO PURO, MEDIDAS DE 5 A 6  X 5 A 6 CM, LIBRE DE CARBOXIMETILCELULOSA Y/O PLATA ENVASE INDIVIDUAL ESTERIL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000094	AP. ALGINATO PURO 10 A 11 X 20 A 21 CM	APOSITO DE ALGINATO CALCIO Y/O SODIO PURO, MEDIDAS DE 10 A 11 X 20 A 21CM, LIBRE DE CARBOXIMETILCELULOSA Y/O PLATA ENVASE INDIVIDUAL ESTERIL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000097	ALGODON HIDROFILO PRENSADO BOLSA 1 KG	ALGODÓN HIDROFILO PRENSADO USP XXX O SUPERIOR 100% ALGODÓN DESGRASADO, SIN APRESTO, LIBRE IMPUREZAS, BOLSA 1KG. ENVASE RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR BOLSA.	Insumos	Canasta general	2020-01-01	272
100000100	ALOPURINOL 100 MG CM	ALOPURINOL 100 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000101	ALOPURINOL 300 MG CM	ALOPURINOL 300 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000103	ALPRAZOLAM 0,50 MG CM	ALPRAZOLAM 0,5 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000104	ALPROSTADIL 500 MCG/1 ML SOL.INY. AM/FAM	ALPROSTADIL 500 MCG/1 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVASCULAR AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DE CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000107	ALUMINIO HIDROX./MAGNESIO SUSP.ORAL FRA	ALUMINIO HIDROXIDO, PUEDE CONTENER HIDROXIDO DE MAGNESIO O SIMETICONA/DIMETICONA SUSPENSION ORAL FRASCO 150 A 180 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000109	AMALGAMA ALEACION C/ COBRE FRA 30 A 35 G	AMALGAMA ALEACION CON ALTO CONTENIDO COBRE FRASCO 30 A 35 G DEBE CONTENER: PLATA 40% MINIMO COBRE 28% APROXIMADO, ESTAÑO 30% APROXIMADO. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Insumos	Canasta general	2020-01-01	272
100000112	AMIKACINA 100 MG/2 SOL. INY. ML AM/FAM	AMIKACINA 100 MG/2 ML SOLUCION INYECTABLE VIA DE ADMINISTRACIÓN INTRAVENOSA E INTRAMUSCULAR AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.  COTIZAR POR AMPOLLA O FRASCO AMPOLLA	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000113	AMIKACINA 500 MG/2 ML SOL. INY. AM/FAM	AMIKACINA 500 MG/2 ML SOLUCION INYECTABLE ADMINISTRACIÓN INTRAVENOSA E INTRAMUSCULAR AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000114	AMINOACIDOS ESENCIAL 10%SOL IV FAM 500ML	AMINOACIDOS ESENCIALES 10% SOLUCION INYECTABLE INTRAVENOSA FRASCO AMPOLLA 500 ML ENVASADO EN VIDRIO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Sueros	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000115	AMINOFILINA 250 MG/10 ML SOL.INY. AM/FAM	AMINOFILINA 250 MG/10 ML SOLUCION INYECTABLE VIA DE ADMINISTRACIÓN INTRAVENOSA AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000118	AMIODARONA 150 MG/3 ML SOL. INY. AM/FAM	AMIODARONA 150 MG/3 ML SOLUCION INYECTABLE VIA DE ADMINISTRACIÓN INTRAVENOSA AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000119	AMIODARONA 200 MG CM	AMIODARONA 200 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR PORCOMPRIMIDO.	Fármacos	Canasta general	2021-01-01	Importación
100000120	AMITRIPTILINA 25 MG CP/GG/CM/ CM REC.	AMITRIPTILINA 25 MG CAPSULA, GRAGEA, COMPRIMIDO O COMPRIMIDO RECUBIERTOENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA O GRAGEA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000121	AMOXICILINA 750 MG CM/CM REC	AMOXICILINA 750 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000122	AMOXICILINA 500 MG CP/CM/CM REC	AMOXICILINA 500 MG CAPSULA, COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADOEN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDELCONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000124	AMOXICILINA 500MG/5 ML P/SUSP FRA 60ML	AMOXICILINA 500 MG/5 ML POLVO PARA SUSPENSION ORAL FRASCO 60 ML. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZARPOR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000125	AMOXIC/CLAVULAN 500/125 MG CP/CM/CM REC	AMOXICILINA/ACIDO CLAVULANICO 500/125 MG CAPSULA, COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA O COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000126	AMOXICIL/CLAVULAN 875/125 MG CM/CM REC	AMOXICILINA/ACIDO CLAVULANICO 875/125 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000128	AMPICILINA 500 MG POLVO/POLVO LIOF FAM	AMPICILINA 500 MG POLVO O POLVO LIOFILIZADO PARA SOLUCION INYECTABLE VIA DE ADMINISTRACIÓN INTRAVENOSA E INTRAMUSCULAR FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZARPOR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000130	ANFETAMINA 10 MG CM	ANFETAMINA 10 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000131	AMFOTERICINA B 50 MG LIOF O SUSP AM/FAM	AMFOTERICINA B 50MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA OFRASCO AMPOLLA	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100000132	ANTICONCEPTIVO ORAL C/PLACEBO CICLO	ANTICONCEPTIVO ORAL 28 GRAGEAS O COMPRIMIDOS RECUBIERTOS (21 DE ETINILESTRADIOL/ LEVONORGESTREL 0,03/0,15 MG Y 7 DE PLACEBO) BLISTER 1 CICLO.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR CICLO.	Fármacos	Canasta Esencial de Medicamentos	2021-02-01	341-2.2
100000136	AP. CARBOXIMETIL-PLATA 9 A 10 X 9 A10 CM	APOSITO CARBOXIMETILCELULOSA MAS PLATA 9 A 10 X 9 A 10 CM ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000141	AP. TRANSP C/ADHES 5 A 6 X 7 A 8 CM	APOSITO TRANSPARENTE CON ADHESIVO HIPOALERGÉNICO SEMIPERMEABLE 5 A 6 X 7 A 8 CM APROXIMADO. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000142	AP. TRANSP C/ADHES 9 A 10 X 10 A 12 CM	APOSITO TRANSPARENTE CON ADHESIVO HIPOALERGÉNICO SEMIPERMEABLE 9 A 10 X10 A 12 CM APROXIMADO. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000146	AP. GASA 7 X 20 CM C/CONTROL ESTERIL	APOSITO DE GASA 7 X 20 CM CON CONTROL ESTERILIZACION EMPAQUE PAPEL GRADOMEDICO BILAMINADO ENVASE INDIVIDUAL ESTERIL BOLSA O CAJA HASTA 500UNIDADES.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000147	VENDA APOSITO GASA/ALGODON 10 CM X 1 M	VENDA APOSITO GASA/ALGODON 10 CM X 1 M CON CONTROL ESTERILIZACION EMPAQUE PAPEL GRADO MEDICO BILAMINADO. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000152	AP. GASA 40 X 40 CM C/CONTROL ESTERIL	APOSITO DE GASA 40 X 40 CM CON CONTROL ESTERILIZACION EMPAQUE PAPEL GRADO MEDICO BILAMINADO ENVASE INDIVIDUAL ESTERIL. BOLSA O CAJA HASTA 500 UNIDADES.  ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000153	AP.CARBON ACTIV-PLATA 6,5A 7,5X9,5 A10,5	APOSITO CARBON ACTIVADO MAS PLATA 6,5 A 7,5 CM X 9,5 A 10,5 CM ENVASE INDIVIDUAL ESTERIL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
