Nombre Comercial;Nombre Proveedor;Nombres de medidas;Precio Máximo Venta al Público;Tipo Producto;Descripción Producto;Documento de Compras;ZCEN;ZGEN
CIPROFIBRATO CAPSULAS 100 MG CAJ 30 CP;FARMACEUTICA CARIBEAN LTDA.;Precio Máximo de Venta al Público;8539;Producto Disponible;CIPROFIBRATO 100 MG CM/CP;4500020592;500009992;100004062
CITALOPRAM 20 MG CAJ 30 CM;PHARMATRADE S.A.;Precio Máximo de Venta al Público;2000;Producto Disponible;CITALOPRAM 20 MG CM/CM REC.;4500023715;500011924;100000382
CLEXANE 80MG/0,8ML CAJ 10 JRP;SOLUCIONES CLINICAS Y FARMACEUTICAS;Precio Máximo de Venta al Público;42519;Producto Disponible;ENOXAPARINA 80 MG/0,8ML SOL.INY. JRP;4500020695;500006372;100000553
CLOPIDOGREL 75 MG CAJ 30 CM REC;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;3130;Producto Disponible;CLOPIDOGREL 75 MG CM REC;4500023790;500011958;100000397
CLOPIDOGREL 75 MG CAJ 100 CM REC;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;11800;Producto Disponible;CLOPIDOGREL 75 MG CM REC;4500022512;500010731;100000397
CLORAMBUCILO 2 MG FRA 30 CM;SEVEN PHARMA CHILE SPA;Precio Máximo de Venta al Público;63480;Producto Disponible;CLORAMBUCILO 2 MG CM REC;4500022187;500008655;100000398
CLORAMFENICOL 0,5% SOL OFT 10ML CAJ 1FRA;OPKO CHILE S.A.;Precio Máximo de Venta al Público;1348;Producto Disponible;CLORAMFENICOL 0,5% SOL.OFT.FRA 5 A 10 ML;4500021298;500004743;100002324
CLORANFENICOL 0,5% S. OFT. 10ML CAJ 1FRA;ARAMA NATURAL PRODUCTS DISTRIBUIDOR;Precio Máximo de Venta al Público;950;Producto Disponible;CLORAMFENICOL 0,5% SOL.OFT.FRA 5 A 10 ML;4500023716;500011943;100002324
CLOTRIMAZOL 1% 20 G CAJ 1 TU;ACRUX LABS S.A.;Precio Máximo de Venta al Público;590;Producto Disponible;CLOTRIMAZOL 1% CREMA,TUBO O POMO 15-20 G;4500023923;500012039;100000415
CLOTRIMAZOL 1% 20 G CAJ 1 TU;LABOFAR EIRL;Precio Máximo de Venta al Público;425;Producto Disponible;CLOTRIMAZOL 1% CREMA,TUBO O POMO 15-20 G;4500021079;500010251;100000415
CO-TRIMOXAZOL 400/80 MG /5 ML CAJ 5 AM;UNIFARMA SPA;Precio Máximo de Venta al Público;7412;Producto Disponible;SULFAMET./TRIMETOPR. 400/80 MG/5ML AM;4500019805;500008706;100001367
CODEIPAR 30/500 MG CAJ 12 CM;GRUNENTHAL CHILENA LTDA.;Precio Máximo de Venta al Público;6123;Producto Disponible;CODEINA/PARACETAMOL 30MG/500MG CM;4500020602;500006790;100002204
CORTIPREX 1 MG/ML SUS ORAL 100ML CAJ1FRA;LABORATORIO CHILE S.A.;Precio Máximo de Venta al Público;10222;Producto Disponible;PREDNISONA  1MG/ML SUSP FRA 60 A 120 ML.;4500020833;500006881;100003504
CORTIPREX 20MG/5ML 60ML S/ORAL CAJ 1FRA;LABORATORIO CHILE S.A.;Precio Máximo de Venta al Público;2341;Producto Disponible;PREDNISONA 20MG/5ML SUSP. FRA 60 ML;4500020931;500003834;100002019
CUROCEF 250MG/5ML GR P/SUS ORAL 70ML FRA;GLAXOSMITHKLINE CHILE FARMAC. LTDA;Precio Máximo de Venta al Público;22876;Producto Disponible;CEFUROXIMA 250MG/5ML SUSP FRA 50 A 100ML;4500017753;500001939;100001736
D-HISTAPLUS 5 MG CAJ 30 CM;LABORATORIO PASTEUR S.A.;Precio Máximo de Venta al Público;1200;Producto Disponible;DESLORATADINA 5 MG CM / CM REC;4500023888;500012022;100003219
DARAPRIM 25 MG CAJ 30 CM;GLAXOSMITHKLINE CHILE FARMAC. LTDA;Precio Máximo de Venta al Público;20410;Producto Disponible;PIRIMETAMINA 25 MG CM;4500021413;500006329;100002260
DEPO - MEDROL SUSP. INY. 40 MG/1 ML FAM;LABORATORIO WYETH INC.;Precio Máximo de Venta al Público;12880;Producto Disponible;METILPREDNISOLONA 40MG/ML SUSP INY FAM;4500022208;500010830;100001026
DESPEX 2,5/5ML FRASCO 120ML CAJ 1 FRA;PHARMATRADE S.A.;Precio Máximo de Venta al Público;3740;Producto Disponible;DESLORA 2,5MG/5ML JBE/SOL FRA100 A 120ML;4500022330;500010854;100003250
DESPEX 2,5/5ML FRASCO 120ML CAJ 1 FRA;LABORATORIO CHILE S.A.;Precio Máximo de Venta al Público;3560;Producto Disponible;DESLORA 2,5MG/5ML JBE/SOL FRA100 A 120ML;4500020810;500010135;100003250
DEXAMETASONA 4 MG/ML SOL INY CAJ 10 AM;LABORATORIO SANDERSON S.A.;Precio Máximo de Venta al Público;1920;Producto Disponible;DEXAMETASONA FOSFATO SODICO 4 MG/ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA-INTRAMUSCULAR E INTRAARTICULAR AMPOLLA O FRASCO AMPOLLA 1ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPO;4500023877;500012009;100000498
DIFLUCAN 200MG CAJ 10 CP;PFIZER CHILE S.A.;Precio Máximo de Venta al Público;78738;Producto Disponible;FLUCONAZOL 200 MG CM/CM REC/CP;4500020685;500010041;100003898
DINAFLEX DUO FORTE 1500/1200MG CAJ 30 SO;TECNOFARMA S.A.;Precio Máximo de Venta al Público;19872;Producto Disponible;GLUCOSAMIN/CONDROITIN 1500/1200 MG SOBR;4500020907;500006737;100003923
DOMPERIDONA 10 MG CAJ 20 CM;ARAMA NATURAL PRODUCTS DISTRIBUIDOR;Precio Máximo de Venta al Público;686;Producto Disponible;DOMPERIDONA 10 MG CM/CM REC/CP;4500020495;500009940;100000524
DOSIN 10 MG/ML SUSP ORAL 20ML CAJ 1 FRA;GRUNENTHAL CHILENA LTDA.;Precio Máximo de Venta al Público;1781;Producto Disponible;DOMPERIDONA 10 MG/ML SUSP FRA 20 A 30 ML;4500020703;500006765;100000521
DOSTINEX 0,5 MG CAJ 2 CM;LABORATORIO WYETH INC.;Precio Máximo de Venta al Público;7230;Producto Disponible;CABERGOLINA 0,5 MG CM;4500022265;500007378;100002024
DRALITEM 20 MG FRA 5 CP;TECNOFARMA S.A.;Precio Máximo de Venta al Público;39900;Producto Disponible;TEMOZOLOMIDA 20 MG CP;4500022793;500011194;100005314
DULOXETINA 60 MG CAJ 30 CP;ACRUX LABS S.A.;Precio Máximo de Venta al Público;9160;Producto Disponible;DULOXETINA 60 MG CM REC  O CP;4500023900;500012028;100004006
DUODART 0,5/0,4 MG FRA 30 CP;ETEX FARMACEUTICA LIMITADA;Precio Máximo de Venta al Público;9930;Producto Disponible;DUTASTER/TAMSULOS 0,5/0,4 MG CP LIB SOST;4500020457;500008046;100003900
DUROGESIC 25MCG/HORA PARCHE TRA CAJ 5 UN;JOHNSON AND JOHNSON DE CHILE S.A.;Precio Máximo de Venta al Público;47020;Producto Disponible;FENTANILO 25MCG/HORA PARCHE TRANSDERMICO;4500023784;500011980;100002164
DUROGESIC 50 MCG/H PARCHE CAJ 5 UN;JOHNSON AND JOHNSON DE CHILE S.A.;Precio Máximo de Venta al Público;94040;Producto Disponible;FENTANILO 50MCG/HORA PARCHE TRANSDERMICO;4500023019;500006016;100002044
ELIPTIC OFTENO SOL OFT 5ML CAJ X 1 FRA;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;6350;Producto Disponible;DORZOLA/TIMOL 2/0,5G SOL.OFT.FRA 5 A 6ML;4500022042;500010706;100002288
EMISTOP 8MG SOL INY 4ML CAJ 5 AM;REUTTER S.A.;Precio Máximo de Venta al Público;2647;Producto Disponible;ONDANSETRON 2MG/ML SOL.INY. AM O FAM 4ML;4500020858;500010146;100001105
ENALAPRIL 20 MG CAJ 20 CM;OPKO CHILE S.A.;Precio Máximo de Venta al Público;580;Producto Disponible;ENALAPRIL 20 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. E NVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. C OTIZAR POR COMPRIMIDO.;4500024064;500012109;100000546
EPOETINA ALFA HUMA FAM 2.000 UI CAJ 10UN;QUALITEC FARMACEUTICA LIMITADA;Precio Máximo de Venta al Público;10085;Producto Disponible;EPOETINA ALFA-BETA HUMANA RECOMB 2000 UI;4500020811;500010136;100000581
EPOETINA ALFA HUMA FAM 4.000 UI CAJ 10UN;QUALITEC FARMACEUTICA LIMITADA;Precio Máximo de Venta al Público;14669;Producto Disponible;EPOETINA ALFA-BETA HUMANA RECOMB 4000 UI;4500020060;500009681;100001916
EQUORAL 25 MG CAJ 50 CP;LABORATORIO CHILE S.A.;Precio Máximo de Venta al Público;27785;Producto Disponible;CICLOSPORINA 25 MG CP BLANDA;4500019691;500003886;100002032
EQUORAL 50 MG CAJ 50 CP;LABORATORIO CHILE S.A.;Precio Máximo de Venta al Público;28962;Producto Disponible;CICLOSPORINA 50 MG CP BLANDA;4500020665;500003885;100002033
EQUORAL 100 MG CAJ 50 CP;LABORATORIO CHILE S.A.;Precio Máximo de Venta al Público;78068;Producto Disponible;CICLOSPORINA 100 MG CP BLANDA;4500019977;500006002;100002030
ESCITALOPRAM 10 MG CAJ 30 CM;OPKO CHILE S.A.;Precio Máximo de Venta al Público;1910;Producto Disponible;ESCITALOPRAM 10 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RES ISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR P OR COMPRIMIDO.;4500023628;500011823;100003210
ESOMEPRAZOL 40 MG CAJ 30 CM REC ENT;OPKO CHILE S.A.;Precio Máximo de Venta al Público;4970;Producto Disponible;ESOMEPRAZOL 40 MG CM/CP MICR. REC.ENT;4500022215;500010835;100003970
ESPERCIL 500 MG REC CAJ 20 CM;GRUNENTHAL CHILENA LTDA.;Precio Máximo de Venta al Público;45440;Producto Disponible;ACIDO TRANEXAMICO 500 MG CP/CM REC;4500021051;500004575;100000028
ETOVITAE 60 MG CAJ 14 CM REC;GALENICUM HEALTH CHILE SPA;Precio Máximo de Venta al Público;7490;Producto Disponible;ETORICOXIB 60 MG CM REC;4500024005;500012084;100004129
EUTIROX 25 MCG CAJ 50 CM;MERCK S.A..;Precio Máximo de Venta al Público;6288;Producto Disponible;LEVOTIROXINA 25 MCG CM;4500017850;500000453;100000963
EUTIROX 50 MCG CAJ 50 CM;MERCK S.A..;Precio Máximo de Venta al Público;4580;Producto Disponible;LEVOTIROXINA 50 MCG CM RANURADO;4500022026;500004880;100002243
EUTIROX 88 MCG CAJ 50 CM;MERCK S.A.;Precio Máximo de Venta al Público;7710;Producto Disponible;LEVOTIROXINA 88 MCG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CO N SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.;4500023887;500012026;100003824
FENOT/IPRAT 0,5/0,25MG/ML 20 ML P/NE FRA;PHARMAMERICA LIMITADA;Precio Máximo de Venta al Público;5768;Producto Disponible;FENOTEROL/IPRAT. 0,5/0,25MG/ML FRA 20 ML;4500020747;500000039;100000627
FLEET ENEMA  133 ML CAJ 1 FRA;WINPHARM SPA;Precio Máximo de Venta al Público;2802;Producto Disponible;ENEMA FOSFATO ADULT FRA/BOL 130 A 133 ML;4500020295;500009803;100000548
FLEXONO 25 MG CAJ 30 CP;INSTITUTO SANITAS S.A.;Precio Máximo de Venta al Público;3050;Producto Disponible;INDOMETACINA 25 MG CM/CP;4500022937;500009533;100000812
FLURES-D 5 ML S/OFT. CAJ 10 FRA;PHARMATECH CHILE SPA;Precio Máximo de Venta al Público;23840;Producto Disponible;TOBRAM/DEXAMET 3/1MG SUSP.OFT FRA 3 A5ML;4500021801;500010602;100001911
FOSFOSODA SOLUCION ORAL 45ML CAJ 1FRA;SYNTHON CHILE LTDA;Precio Máximo de Venta al Público;2800;Producto Disponible;FOSFOSODA SOLUCION ORAL FRA 45 A 50 ML;4500020578;500011306;100002291
GABAPENTINA 300 MG CAJ 30 CM;PHARMA NETWORK SPA;Precio Máximo de Venta al Público;2919;Producto Disponible;GABAPENTINA 300 MG CP/CM REC.;4500020604;500008741;100000696
GABAPENTINA 300 MG CAJ 30 CP;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;3050;Producto Disponible;GABAPENTINA 300 MG CP/CM REC.;4500023893;500012029;100000696
GABAPENTINA 400 MG CAJ 30 CP;PHARMA NETWORK SPA;Precio Máximo de Venta al Público;4643;Producto Disponible;GABAPENTINA 400 MG CP/CM REC.;4500020595;500009990;100000697
GALVUS 50 MG CAJ 56 CM;NOVOFARMA SERVICE S.A. / AXON PHARMA;Precio Máximo de Venta al Público;20748;Producto Disponible;VILDAGLIPTINA 50 MG CM;4500021053;500010240;100004362
GALVUS MET 50/850 MG CAJ 28 CM;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;13590;Producto Disponible;VILDAGLIPTIN/METFORMINA 50/850MG CM REC;4500023162;500011563;100004075
GALVUS MET 50/1000 MG CAJ 56 CM;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;24240;Producto Disponible;VILDAGLIPTIN/METFORMIN 50/1000MG CM REC;4500022432;500010944;100004074
GEMFIBROZILO 300 MG CAJ 30 CP;LABORATORIO CHILE S.A.;Precio Máximo de Venta al Público;2729;Producto Disponible;GEMFIBROZILO 300 MG CM/CM REC/CP;4500021021;500007410;100000713
GENTAMICINA 0,3% UNG OFT 3,5 G CAJ 1 TUB;ETHON PHARMACEUTICALS COMERCIALIZAD;Precio Máximo de Venta al Público;6786;Producto Disponible;GENTAMICINA 0,3% UNGÜ OFT TU/PM HASTA 5G;4500023689;500011356;100001906
GENTAMICINA 0.3% UNG/OFT CAJ 1 TU 3,5 G;ETHON PHARMACEUTICALS COMERCIALIZAD;Precio Máximo de Venta al Público;6786;Producto Disponible;GENTAMICINA 0,3% UNGÜ OFT TU/PM HASTA 5G;4500020696;500003764;100001906
GENTAMICINA 80 MG/2ML SOL INY CAJ 10 AM;LABVITALIS S.A.;Precio Máximo de Venta al Público;3260;Producto Disponible;GENTAMICINA 80 MG/2ML SOL. INY. AM/FAM;4500023630;500011834;100000715
GIOTRIF 40 MG CAJ 28 CM REC;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;1268730;Producto Disponible;AFATINIB 40 MG CM REC;4500022940;500011301;100004982
GLAFORNIL XR 500 MG CAJ 30 CM;MERCK S.A..;Precio Máximo de Venta al Público;4455;Producto Disponible;METFORMINA 500 MG CM/CM REC LIB. PROLONG;4500019791;500006775;100003871
GLUCOPHAGE 500 MG CAJ 30 CM REC;MERCK S.A..;Precio Máximo de Venta al Público;4580;Producto Disponible;METFORMINA 500 MG CM RECUBIERTO;4500022207;500010819;100003255
GONAL F 75 U.I LIOF P/SOL INY CAJ 1 AM;MERCK S.A..;Precio Máximo de Venta al Público;30990;Producto Disponible;FOLITROPINA ALFA 75UI LIOF.P/SOL.INY FAM;4500021500;500010449;100004655
HIDROCLOROTIAZIDA 50 MG CAJ 20 CM;OPKO CHILE S.A.;Precio Máximo de Venta al Público;480;Producto Disponible;HIDROCLOROTIAZIDA 50 MG COMPRIMIDO ENVASADO EN BLISTER ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.;4500023709;500011920;100000769
HIERRO SACAROSA 100 MG/5 ML CAJ 2 AM;ACRUX LABS S.A.;Precio Máximo de Venta al Público;2647;Producto Disponible;HIERRO 20MG/ML SOL. INY. I.V. AM/FAM 5ML;4500021011;500006048;100000777
HIPOGLUCIN 1000 MG CAJ 30 CM REC;PHARMATRADE S.A.;Precio Máximo de Venta al Público;6490;Producto Disponible;METFORMINA 1000 MG CM REC;4500022338;500010889;100003464
IBUPROFENO 400 MG CM CAJ 20 CM;LABORATORIO CHILE S.A.;Precio Máximo de Venta al Público;773;Producto Disponible;IBUPROFENO 400 MG CM/CM REC./GG/CP;4500021199;500010302;100000806
IMPLANON NXT 68 MG IMPLANTE SC CAJ 1 UN;MERCK SHARP AND DOHME  (I.A) CORP.;Precio Máximo de Venta al Público;50530;Producto Disponible;ETONOGESTREL 68 MG IMPLANTE SUBCUTANEO;4500022419;500010954;100000601
INMUNOPRIN 100 MG CAJ 100 CM;TECNOFARMA S.A.;Precio Máximo de Venta al Público;73660;Producto Disponible;TALIDOMIDA 100 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER . ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENI DO. COTIZAR POR COMPRIMIDO.;4500023735;500011899;100002061
INSULATARD 100 UI/ML PENFILL 3ML CAJ 5UN;NOVO NORDISK FARMACEUTICAL LTDA;Precio Máximo de Venta al Público;18840;Producto Disponible;INSUL NPH 100UI/ML SUSP/INYEC LAPIZ+AGUJ;4500023824;500012345;100005506
INSULINA INSULATARD 100UI/ML 10ML FAM;NOVO NORDISK FARMACEUTICAL LTDA;Precio Máximo de Venta al Público;4970;Producto Disponible;INSULINA NPH HUMANA 100 UI/ML FAM 10 ML;4500021967;500009061;100000824
INTREXTA 50 MG/2 ML SOL INY CAJ 1 FAM;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;3820;Producto Disponible;METOTREXATO 50 MG/2ML SOL.INYECTABLE FAM;4500021872;500010639;100001036
